Marca temporal,Nombre del observador,Sector en el que realizo la observación,Turno,Personal al que observo,Momento que observa,Accion que realizo,Momento que observa2 ,Acción que realizo2 
22/11/2025 1:29:34,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Despues de tocar al paciente,Higiene con solución alcoholica,Antes de tocar al paciente,Higiene con solución alcoholica
22/11/2025 1:30:15,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
22/11/2025 1:30:50,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec. Hemoterapia,Despues de tocar entorno,Higiene con solución alcoholica,Despues de tocar al paciente,Ninguna
22/11/2025 1:31:15,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
22/11/2025 1:32:08,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec.Laboratorio,Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
22/11/2025 1:32:36,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec.Laboratorio,Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
22/11/2025 1:41:10,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
22/11/2025 1:41:52,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Mucama,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
22/11/2025 1:42:23,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Mucama,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
22/11/2025 1:42:49,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Mucama,Despues de tocar entorno,Higiene con solución alcoholica,Despues de tocar entorno.,Ninguna
22/11/2025 1:43:34,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Aux. de alimentación,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
22/11/2025 1:43:57,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Aux. de alimentación,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
22/11/2025 1:44:26,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Nutricionista,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
22/11/2025 1:45:34,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
22/11/2025 1:45:56,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Camillero,Despues de tocar entorno,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
25/11/2025 18:12:35,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Antes de rrealizar técnica Aseptica.,Lavado con agua y jabón (solo en guardia)
25/11/2025 18:13:06,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Después de tocar fluidos,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
25/11/2025 18:13:33,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Despues de tocar entorno,Higiene con solución alcoholica,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia)
25/11/2025 18:14:19,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Después de tocar fluidos,Lavado con agua y jabón (solo en guardia),Despues de tocar entorno.,Higiene con solución alcoholica
25/11/2025 18:14:46,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Despues de tocar entorno,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
25/11/2025 18:15:32,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
25/11/2025 18:16:00,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Ninguna
25/11/2025 18:16:26,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Despues de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Ninguna
25/11/2025 18:16:50,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
25/11/2025 18:17:20,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
25/11/2025 18:22:20,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Mucama,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
25/11/2025 18:22:54,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Nutricionista,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
25/11/2025 18:23:20,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
25/11/2025 18:23:42,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec.Laboratorio,Despues de tocar entorno,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
25/11/2025 18:24:14,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
4/12/2025 23:04:04,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
4/12/2025 23:04:34,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Residente de Clinica,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
4/12/2025 23:05:01,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Ninguna
4/12/2025 23:05:30,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Medico Traumatologo (Staff y Residente),Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
4/12/2025 23:06:03,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Antes de rrealizar técnica Aseptica.,Lavado con agua y jabón (solo en guardia)
4/12/2025 23:06:33,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Después de tocar fluidos,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Higiene con solución alcoholica
4/12/2025 23:06:58,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Despues de tocar entorno,Lavado con agua y jabón (solo en guardia),Despues de tocar entorno.,Higiene con solución alcoholica
4/12/2025 23:07:48,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
4/12/2025 23:08:14,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Enfermeria,Despues de tocar entorno,Higiene con solución alcoholica,Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
4/12/2025 23:08:40,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
4/12/2025 23:09:21,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec.Laboratorio,Despues de tocar entorno,Ninguna,Despues de tocar al paciente,Ninguna
4/12/2025 23:10:05,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Mucama,Despues de tocar entorno,Higiene con solución alcoholica,Despues de tocar entorno.,Ninguna
4/12/2025 23:10:36,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
4/12/2025 23:10:58,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Camillero,Despues de tocar entorno,Ninguna,Despues de tocar al paciente,Ninguna
4/12/2025 23:11:55,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Nutricionista,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
4/12/2025 23:12:22,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Aux. de alimentación,Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
4/12/2025 23:12:50,Abigail Aruquipa Ramos ,7mo  piso,Noche A,Tec. Hemodialisis,Despues de tocar al paciente,Ninguna,,
4/11/2025 6:00:23,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
4/11/2025 6:01:11,Ana Painequeo,5to piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
4/11/2025 6:02:11,Ana Painequeo,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
4/11/2025 6:02:47,Ana Painequeo,5to piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
7/11/2025 4:01:41,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
13/11/2025 3:19:12,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
13/11/2025 3:19:50,Ana Painequeo,5to piso,Noche A,Enfermeria,Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
13/11/2025 3:20:48,Ana Painequeo,5to piso,Noche A,Camillero,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
17/11/2025 1:36:41,Ana Painequeo,5to piso,Noche A,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
17/11/2025 1:37:19,Ana Painequeo,5to piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
17/11/2025 1:37:54,Ana Painequeo,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
17/11/2025 1:38:43,Ana Painequeo,5to piso,Noche B,Tec.Laboratorio,Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
17/11/2025 1:40:45,Ana Painequeo,5to piso,Noche B,Enfermeria,Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
17/11/2025 1:43:14,Ana Painequeo,5to piso,Noche B,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
22/11/2025 7:52:16,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
22/11/2025 7:53:09,Ana Painequeo,5to piso,Noche A,Enfermeria,Después de tocar fluidos,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
22/11/2025 7:55:06,Ana Painequeo,5to piso,Noche A,Mucama,Después de tocar fluidos,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
22/11/2025 7:55:48,Ana Painequeo,5to piso,Noche A,Imagenes (ecografista y RX),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
22/11/2025 7:58:24,Ana Painequeo,5to piso,Noche A,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
22/11/2025 7:59:05,Ana Painequeo,5to piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
25/11/2025 11:04:09,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Después de tocar fluidos,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
25/11/2025 11:04:44,Ana Painequeo,5to piso,Noche A,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
25/11/2025 11:05:13,Ana Painequeo,5to piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
25/11/2025 11:05:45,Ana Painequeo,5to piso,Noche A,Imagenes (ecografista y RX),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
25/11/2025 11:06:34,Ana Painequeo,5to piso,Noche A,Camillero,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
25/11/2025 11:07:22,Ana Painequeo,5to piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Higiene con solución alcoholica,Antes de tocar al paciente,Higiene con solución alcoholica
25/11/2025 11:08:13,Ana Painequeo,5to piso,Noche A,Tec. Hemoterapia,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:26:49,Ana Painequeo,5to piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:27:20,Ana Painequeo,5to piso,Noche B,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 9:27:47,Ana Painequeo,5to piso,Noche B,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
26/11/2025 9:28:19,Ana Painequeo,5to piso,Noche B,Camillero,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 9:29:04,Ana Painequeo,5to piso,Noche B,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar fluidos,Higiene con solución alcoholica
27/11/2025 11:17:54,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
27/11/2025 11:18:23,Ana Painequeo,5to piso,Noche A,Enfermeria,Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
27/11/2025 11:19:09,Ana Painequeo,5to piso,Noche A,Camillero,Después de tocar fluidos,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
27/11/2025 11:19:47,Ana Painequeo,5to piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
27/11/2025 11:20:23,Ana Painequeo,5to piso,Noche A,Imagenes (ecografista y RX),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
1/12/2025 10:16:57,Ana Painequeo,5to piso,Noche A,Medico Urologo (Staff y Residente),Después de tocar fluidos,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
1/12/2025 10:17:30,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
1/12/2025 10:18:11,Ana Painequeo,5to piso,Noche A,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
1/12/2025 10:18:43,Ana Painequeo,5to piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
1/12/2025 10:19:18,Ana Painequeo,5to piso,Noche A,Camillero,Despues de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
1/12/2025 10:20:20,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
6/12/2025 3:02:17,Ana Painequeo,5to piso,Noche A,Residente de Clinica,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
6/12/2025 3:02:57,Ana Painequeo,5to piso,Noche A,Enfermeria,Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
6/12/2025 3:03:38,Ana Painequeo,5to piso,Noche A,Camillero,Despues de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
6/12/2025 3:04:13,Ana Painequeo,5to piso,Noche A,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
22/11/2025 7:53:45,Ana Painrqueo,5to piso,Noche A,Tec.Laboratorio,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 0:58:11,Antoniazzi Gabriela ,5to piso,Noche B,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 1:00:07,Antoniazzi Gabriela ,5to piso,Noche B,Medico Urologo (Staff y Residente),Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 1:02:18,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:02:53,Antoniazzi Gabriela ,5to piso,Noche B,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 1:03:25,Antoniazzi Gabriela ,5to piso,Noche B,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:03:58,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:04:29,Antoniazzi Gabriela ,5to piso,Noche B,Tec. Hemoterapia,Antes de realizar técnica Aseptica,Higiene con solución alcoholica,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 1:05:08,Antoniazzi Gabriela ,5to piso,Noche B,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:05:30,Antoniazzi Gabriela ,5to piso,Noche B,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:06:08,Antoniazzi Gabriela ,5to piso,Noche B,Tec.Laboratorio,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 1:06:29,Antoniazzi Gabriela ,5to piso,Noche B,Medico Cirujano (Staff y Residente),Antes de realizar técnica Aseptica,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 1:07:24,Antoniazzi Gabriela ,5to piso,Noche B,Medico Traumatologo (Staff y Residente),Antes de realizar técnica Aseptica,Ninguna,Despues de tocar fluidos,Ninguna
26/11/2025 1:10:40,Antoniazzi Gabriela ,5to piso,Noche B,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:11:23,Antoniazzi Gabriela ,5to piso,Noche B,Imagenes (ecografista y RX),Despues de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:11:54,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:13:22,Antoniazzi Gabriela ,5to piso,Noche B,Tec. Hemoterapia,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 1:13:53,Antoniazzi Gabriela ,5to piso,Noche B,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:14:28,Antoniazzi Gabriela ,5to piso,Noche B,Medico Cirujano (Staff y Residente),Antes de tocar al paciente,Ninguna,Antes de rrealizar técnica Aseptica.,Higiene con solución alcoholica
26/11/2025 1:14:59,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de realizar técnica Aseptica,Lavado con agua y jabón (solo en guardia),Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:15:25,Antoniazzi Gabriela ,5to piso,Noche B,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 1:17:55,Antoniazzi Gabriela ,5to piso,Noche B,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 1:18:50,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de realizar técnica Aseptica,Lavado con agua y jabón (solo en guardia),Antes de tocar al paciente,Higiene con solución alcoholica
26/11/2025 1:19:21,Antoniazzi Gabriela ,5to piso,Noche B,Tec. Hemoterapia,Antes de tocar al paciente,Ninguna,Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:20:06,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:20:31,Antoniazzi Gabriela ,5to piso,Noche B,Residente de Clinica,Antes de realizar técnica Aseptica,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:20:56,Antoniazzi Gabriela ,5to piso,Noche B,Medico Urologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:21:23,Antoniazzi Gabriela ,5to piso,Noche B,Tec.Laboratorio,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Ninguna
26/11/2025 1:22:12,Antoniazzi Gabriela ,5to piso,Noche B,Medico Traumatologo (Staff y Residente),Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 1:22:44,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Higiene con solución alcoholica,Despues de tocar entorno.,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:23:12,Antoniazzi Gabriela ,5to piso,Noche B,Imagenes (ecografista y RX),Antes de tocar al paciente,Ninguna,Despues de tocar entorno.,Higiene con solución alcoholica
26/11/2025 1:23:41,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de tocar al paciente,Lavado con agua y jabón (solo en guardia),Despues de tocar al paciente,Lavado con agua y jabón (solo en guardia)
26/11/2025 1:24:15,Antoniazzi Gabriela ,5to piso,Noche B,Residente de Clinica,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 1:24:48,Antoniazzi Gabriela ,5to piso,Noche B,Camillero,Antes de tocar al paciente,Ninguna,Despues de tocar al paciente,Higiene con solución alcoholica
26/11/2025 1:25:30,Antoniazzi Gabriela ,5to piso,Noche B,Mucama,Despues de tocar entorno,Ninguna,Despues de tocar entorno.,Ninguna
26/11/2025 1:25:56,Antoniazzi Gabriela ,5to piso,Noche B,Enfermeria,Antes de realizar técnica Aseptica,Lavado con agua y jabón (solo en guardia),Despues de tocar fluidos,Lavado con agua y jabón (solo en guardia)
